word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W010,10,soporific,adj./n.,催眠的；使人昏昏欲睡的；安眠藥,形容 tranquilizers 的作用時，表示使人想睡或誘發睡眠；可作名詞指催眠物。,名詞用法 a soporific。,,,soporific effect：催眠效果；soporific drug：安眠藥；induce sleep：誘發睡眠,tranquilizer：鎮靜劑；sleep：睡眠；drug abuse：藥物濫用,sleep-inducing：催眠的；sedative：鎮靜的,stimulating：刺激性的,The medicine had a soporific effect.：這種藥有催眠效果。
W011,21-25,dub,v.,把……稱為；給予稱號,試題為 practice dubbed 'AI washing'，過去分詞作後位修飾，表示被稱為 AI washing 的做法。,試卷擷取形為 dubbed。,dub-dubbed-dubbed,dubbing,dub something AI washing：稱某事為 AI washing；be dubbed：被稱為；dub someone a hero：稱某人為英雄,AI washing：AI 洗白；greenwashing：漂綠；claim：宣稱,call：稱為；label：標示為,,The practice was dubbed AI washing.：這種做法被稱為 AI 洗白。
W012,21-25,extensive,adj.,廣泛的；大量的,修飾 training，表示 AI 經過大量訓練後能學習與解題。,名詞 extent；副詞 extensively。,,,extensive training：大量訓練；extensive research：廣泛研究；extensive experience：豐富經驗,training：訓練；AI：人工智慧；data：資料,broad：廣泛的；comprehensive：全面的,limited：有限的,AI systems require extensive training.：AI 系統需要大量訓練。
W013,21-25,pitch,n./v.,提案；推銷說詞；推銷,商業脈絡中 pitch 指向投資人或客戶提出的簡報/說詞；試題為 startups mentioned AI in their pitches。,試卷擷取形為 pitches；動詞 pitch。,pitch-pitched-pitched,pitching,investment pitch：投資提案；sales pitch：銷售說詞；pitch an idea：推銷想法,startup：新創公司；funding：資金；investor：投資人,proposal：提案；presentation：簡報,,Many startups mention AI in their pitches.：許多新創在提案中提到 AI。
W014,21-25,ambiguity,n.,模糊；歧義；不明確,指 AI 定義不統一造成可誇大宣稱的空間；常用 ambiguity allows/leads to。,形容詞 ambiguous；副詞 ambiguously。,,,legal ambiguity：法律模糊；semantic ambiguity：語意歧義；ambiguity allows claims：模糊造成宣稱空間,definition：定義；claim：宣稱；AI washing：AI 洗白,vagueness：模糊；uncertainty：不確定,clarity：清楚；precision：精確,This ambiguity allows inflated AI claims.：這種模糊使誇大的 AI 宣稱有機可乘。
W015,26-30,progressive,adj.,逐步前進的；漸進的；進步的,試題描述 intellectual inquiry 從 opinion 到 truth 的逐步推進，故選 progressive movement。,動詞 progress；名詞 progression。,,,progressive movement：逐步推進；progressive change：漸進變化；progressive education：進步教育,inquiry：探究；truth：真理；reason：理性,gradual：漸進的；advancing：前進的,regressive：倒退的,Inquiry is a progressive movement from opinion to truth.：探究是從意見走向真理的逐步推進。
W016,26-30,well up,phr. v.,湧出；湧上心頭,常指眼淚、情緒或液體逐漸湧現；試題為 well up as tears in the eyes。,片語動詞；第三人稱 wells up；過去式 welled up。,well up-welled up-welled up,welling up,tears well up：眼淚湧出；emotions well up：情緒湧上；well up in one's eyes：在眼中湧現,tears：眼淚；emotion：情緒；body：身體,surge：湧起；rise：上升,subside：消退,Tears welled up in her eyes.：她眼中湧出淚水。
W017,26-30,overturn,v.,推翻；顛覆；翻倒,試題中 threaten to overturn the strictures of thought and conscience，表示影像威脅顛覆思想與良知的約束。,名詞 overturn 可指推翻；形容詞 overturned。,overturn-overturned-overturned,overturning,overturn a decision：推翻決定；overturn strictures：顛覆約束；overturn a vehicle：翻覆車輛,stricture：約束；conscience：良知；authority：權威,reverse：推翻；upend：顛覆,uphold：維持；maintain：維持,The court overturned the decision.：法院推翻了該決定。
W018,31-35,hitch,v./n.,搭便車；附著移動；暫時障礙,試題片語 hitch a ride on + 物，指剛毛蟲附著在珊瑚上進入水族箱。,試卷擷取形為 hitching。,hitch-hitched-hitched,hitching,hitch a ride：搭便車；hitch a ride on coral：附著珊瑚移動；without a hitch：順利無阻,coral：珊瑚；aquarium：水族箱；bristleworm：剛毛蟲,catch a ride：搭便車；attach：附著,detach：分離,The worm hitched a ride on a piece of coral.：這隻蟲附著在一塊珊瑚上進入。
W019,31-35,retract,v.,縮回；撤回,生物或物體脈絡可指身體縮回；試題為 bodies are often retracted。,試卷擷取形為 retracted；名詞 retraction。,retract-retracted-retracted,retracting,retract a statement：撤回說法；retract into hiding：縮回躲藏；retracted body：縮回的身體,segment：節；body：身體；extent：伸展程度,withdraw：縮回；pull back：拉回,extend：伸展,The worm's body retracted when disturbed.：受到干擾時，蟲的身體縮回。
W020,31-35,contend,v.,主張；聲稱；競爭,正式用語，常用 contend that + 子句；試題為 literature has contended that bristleworms are harmful。,試卷擷取形為 contended；名詞 contention。,contend-contended-contended,contending,contend that：主張……；contend with：應付；contend for：競爭,literature：文獻；bristleworm：剛毛蟲；harmful：有害的,argue：主張；assert：斷言,concede：承認；withdraw：撤回,Earlier literature contended that bristleworms were harmful.：早期文獻主張剛毛蟲有害。
W021,31-35,pose,v./n.,造成；提出；擺姿勢,試題片語 pose no threat，表示不構成威脅；常用 pose a risk/problem/threat。,第三人稱 poses；名詞 pose 另有姿勢。,pose-posed-posed,posing,pose no threat：不構成威脅；pose a risk：造成風險；pose a question：提出問題,threat：威脅；risk：風險；scavenger：食腐動物,present：造成/提出；constitute：構成,remove：移除,Small bristleworms pose no threat.：小型剛毛蟲不構成威脅。
W022,31-35,voracious,adj.,貪吃的；求知慾強烈的；大量消耗的,形容 eaters，表示大型 fireworms 食量大且具破壞性。,名詞 voracity；副詞 voraciously。,,,voracious eater：貪吃者；voracious appetite：旺盛食慾；voracious reader：如飢似渴的讀者,fireworm：火蟲；damage：損害；nocturnal：夜行性的,ravenous：飢餓貪食的；insatiable：不知足的,sated：滿足的,Fireworms can be voracious eaters.：火蟲可能非常貪食。
W023,36-40,elitism,n.,菁英主義；精英取向,教育制度脈絡中指機會是否受菁英取向影響；試題與 equality of opportunity 對比。,名詞 elite；形容詞 elitist。,,,educational elitism：教育菁英主義；elitist system：菁英制度；oppose elitism：反對菁英主義,equality：平等；opportunity：機會；selective schooling：選擇性入學,exclusivism：排他主義,egalitarianism：平等主義,The policy was criticized for promoting elitism.：該政策因促進菁英主義而受批評。
W024,36-40,inherent in,adj. phr.,內在於……的；固有於……的,固定搭配 be inherent in + 名詞，表示某特質原本存在於系統中；試題為 inherent in the system。,形容詞 inherent；副詞 inherently。,,,be inherent in the system：制度內在存在；inherent risk：固有風險；inherent limitation：固有限制,system：制度；inequality：不平等；opportunity：機會,intrinsic：內在的；built-in：內建的,extrinsic：外在的,Some inequalities are inherent in the system.：某些不平等是制度內在的。
W025,36-40,perpetuate,v.,使持續；使長存,常接 inequality、myth、cycle 等負面名詞，表示讓問題延續；試題為 perpetuate inequalities。,名詞 perpetuation；形容詞 perpetual。,perpetuate-perpetuated-perpetuated,perpetuating,perpetuate inequality：延續不平等；perpetuate a myth：延續迷思；perpetuate a cycle：使循環持續,inequality：不平等；league table：排行榜；standard：標準,maintain：維持；sustain：持續,eliminate：消除,League tables may perpetuate inequalities.：排行榜可能延續不平等。
W026,36-40,perceive,v.,察覺；看待；認為,試題為 the public perceives it，指公眾如何看待兩級化教育制度。,試卷擷取形為 perceives；名詞 perception。,perceive-perceived-perceived,perceiving,perceive something as：把……視為；public perception：公眾觀感；perceive a difference：察覺差異,public：大眾；two-tier system：兩級制度；opinion：看法,regard：認為；view：看待,overlook：忽略,The public perceives it as a two-tier system.：大眾將其視為兩級制度。
W027,36-40,privileged,adj.,有特權的；富裕優勢的,教育與社會階層脈絡中，less privileged youngsters 指較弱勢、資源較少的年輕人。,名詞 privilege；反義 disadvantaged。,,,less privileged youngsters：較弱勢的年輕人；privileged background：優勢背景；privileged access：特權存取,scholarship：獎學金；bursary：助學金；tertiary education：高等教育,advantaged：有優勢的；favored：受優待的,disadvantaged：弱勢的；underprivileged：貧困弱勢的,Scholarships help less privileged students attend college.：獎學金幫助較弱勢學生上大學。
W476,36-40,underprivileged,adj.,弱勢的；貧困的；資源不足的,字首反義詞補充列；加上字首 under-，形成反義詞。,加上字首 under-，形成反義詞。,,,underprivileged children：弱勢兒童；underprivileged community：弱勢社群；help the underprivileged：幫助弱勢者,poverty：貧困；scholarship：獎學金；opportunity：機會,disadvantaged：弱勢的,privileged：有特權的,underprivileged is the prefix antonym form recorded for review.：underprivileged 是本列補充的字首反義詞，供複習使用。
W028,46-50,mandate,v./n.,命令；授權；強制要求；授權令,閱讀詞義題中 President Biden issued an executive order mandating federal agencies...，此處 mandate 近於 commission/authorize/order。,名詞 mandate；形容詞 mandatory。,mandate-mandated-mandated,mandating,mandate agencies to：要求機關去……；legal mandate：法律授權；mandatory reporting：強制通報,executive order：行政命令；federal agency：聯邦機關；standard：標準,order：命令；authorize：授權；commission：委任,forbid：禁止；prohibit：禁止,The order mandates agencies to develop AI standards.：該命令要求機關制定 AI 標準。
W029,11,commute,v./n.,通勤；上下班路程,文法題中 rides a bicycle to commute daily to work，表示每天通勤上班。,名詞 commuter：通勤者。,commute-commuted-commuted,commuting,commute to work：通勤上班；daily commute：每日通勤；commute by bicycle：騎腳踏車通勤,bicycle：腳踏車；workplace：工作場所；transportation：交通,travel：往返；make one's way：前往,,Thomas rides a bicycle to commute to work.：Thomas 騎腳踏車通勤上班。
W030,13,germinate,v.,發芽；萌發,生物脈絡中指孢子或種子在適合條件下開始生長；試題為 bacterial spores germinate and sprout。,名詞 germination。,germinate-germinated-germinated,germinating,spores germinate：孢子萌發；germinate under favorable conditions：在有利條件下發芽；seed germination：種子發芽,spore：孢子；bacteria：細菌；temperature：溫度,sprout：發芽；grow：生長,wither：枯萎,Bacterial spores germinate under favorable conditions.：細菌孢子會在有利條件下萌發。
W031,13,favorable,adj.,有利的；適合的；贊同的,修飾 conditions，表示溫度和食物供應適合孢子生長。,名詞 favor；副詞 favorably。,,,favorable conditions：有利條件；favorable outcome：有利結果；favorable response：正面回應,condition：條件；temperature：溫度；food supply：食物供應,advantageous：有利的；suitable：適合的,unfavorable：不利的,Spores sprout under favorable conditions.：孢子在有利條件下萌發。
W032,15,retard,v.,延緩；阻滯,工程與安全脈絡中表示使損害或燃燒速度變慢；試題為 retard damage to the passenger cabin。,形容詞 fire-retardant：阻燃的。,retard-retarded-retarded,retarding,retard damage：延緩損害；retard the spread of fire：延緩火勢蔓延；fire-retardant material：阻燃材料,fire-resistant：防火的；damage：損害；aircraft：飛機,delay：延遲；slow：減緩,accelerate：加速,Fire-resistant materials help retard damage.：防火材料有助於延緩損害。
W033,16,practicing,adj.,執業中的；從業的,修飾 lawyers，表示實際執業的律師，而非只具理論背景。,動詞 practice；名詞 practice：執業/實務。,,,practicing lawyer：執業律師；practicing physician：執業醫師；legal practice：法律實務,lawyer：律師；academic：學者；contract law：契約法,active：現職的；working：從業中的,retired：退休的,Many academics are also practicing lawyers.：許多學者同時也是執業律師。
W034,18,down payment,n.,頭期款；首付款,購屋貸款脈絡中指借大筆錢前需先支付的部分款項；試題為 make a down payment。,固定名詞片語。,,,make a down payment：付頭期款；down payment on a house：房屋頭期款；save for a down payment：存頭期款,mortgage：房貸；home buyer：購屋者；loan：貸款,deposit：訂金/押金；initial payment：初始付款,,First-time home buyers need a down payment.：首次購屋者需要頭期款。
W035,21-25,intuitive,adj.,直覺的；易懂的,形容 Amazon Fresh / Go 的系統讓顧客直覺地拿了就走。,名詞 intuition；副詞 intuitively。,,,intuitive system：直覺式系統；intuitive interface：直覺介面；intuitive understanding：直覺理解,customer：顧客；checkout：結帳；sensor：感測器,user-friendly：易用的；instinctive：本能的,counterintuitive：反直覺的,The store uses an intuitive checkout system.：這家店使用直覺式結帳系統。
W036,21-25,checkout,n.,結帳；收銀處,零售脈絡中 traditional checkout 指傳統排隊結帳流程。,動詞片語 check out：結帳離開。,,,traditional checkout：傳統結帳；checkout counter：結帳櫃台；self-checkout：自助結帳,retail：零售；purchase：購買；bill：帳單,payment process：付款流程,,Customers can leave without traditional checkout.：顧客可以不用傳統結帳就離開。
W037,21-25,verify,v.,核實；驗證,AI 系統脈絡中 manually verify transactions 表示人工核對交易是否正確。,名詞 verification；形容詞 verified。,verify-verified-verified,verifying,verify transactions：核對交易；verify accuracy：驗證準確性；manual verification：人工驗證,transaction：交易；reviewer：審查者；accuracy：準確性,confirm：確認；validate：驗證,falsify：偽造/證偽,Reviewers manually verify some transactions.：審查人員人工核對部分交易。
W038,21-25,assert,v.,斷言；堅稱；主張,正式動詞，指 Amazon quickly denied reports and asserted a different explanation。,名詞 assertion；形容詞 assertive。,assert-asserted-asserted,asserting,assert that：堅稱……；assert a claim：提出主張；assert one's rights：主張權利,report：報導；claim：宣稱；denial：否認,state：陳述；declare：宣稱,deny：否認,The company asserted that reviewers only evaluated the system.：公司堅稱審查員只是評估系統。
W039,21-25,exaggerate,v.,誇大；言過其實,AI washing 脈絡中指公司誇大 AI 能力。,名詞 exaggeration；形容詞 exaggerated。,exaggerate-exaggerated-exaggerated,exaggerating,exaggerate capabilities：誇大能力；exaggerate claims：誇大宣稱；greatly exaggerate：大幅誇大,capability：能力；startup：新創；funding：資金,overstate：誇大；inflate：抬高/誇大,understate：輕描淡寫,Some companies exaggerate their AI capabilities.：有些公司誇大其 AI 能力。
W040,21-25,erode,v.,侵蝕；逐漸削弱,抽象用法 eroding trust 表示逐步削弱人們對真正 AI 創新的信任。,名詞 erosion。,erode-eroded-eroded,eroding,erode trust：削弱信任；erode confidence：侵蝕信心；soil erosion：土壤侵蝕,trust：信任；innovation：創新；expectation：期待,undermine：削弱；weaken：使變弱,strengthen：強化,Inflated claims can erode trust in AI.：誇大宣稱會削弱人們對 AI 的信任。
W041,26-30,embattled,adj.,受圍攻的；處境艱難的；充滿爭議的,文章說 images 的歷史地位 mostly an embattled one，指長期受到質疑與批判。,動詞 battle；片語 be embattled。,,,embattled status：受爭議的地位；embattled leader：處境艱難的領導者；embattled institution：陷入困境的機構,image：影像；critique：批判；distrust：不信任,besieged：被圍攻的；beleaguered：陷入困境的,secure：穩固的,Images have an embattled status in many traditions.：影像在許多傳統中地位充滿爭議。
W042,26-30,tenacious,adj.,頑強的；固執持久的,形容 distrust of images 長期牢固、不易消失。,名詞 tenacity；副詞 tenaciously。,,,tenacious distrust：頑強的不信任；tenacious grip：牢牢抓住；tenacious effort：堅持不懈的努力,suspicion：懷疑；critique：批判；belief：信念,persistent：持續的；stubborn：固執的,weak：薄弱的,A tenacious distrust of images shaped the debate.：對影像的頑強不信任形塑了這場辯論。
W043,26-30,pliant,adj.,易受影響的；柔順的；可彎曲的,文中 pliant viewers 指容易被操控或說服的觀眾。,名詞 pliancy。,,,pliant viewers：易受影響的觀眾；pliant material：柔韌材料；pliant attitude：順從態度,viewer：觀眾；merchant：商人；tyrant：暴君,malleable：易受影響的；flexible：柔韌的,rigid：僵硬的；unyielding：不屈服的,Images can influence pliant viewers.：影像能影響易受影響的觀眾。
W044,26-30,dupe,v./n.,欺騙；受騙者,文章說 images dupe the unsuspecting，表示影像欺騙毫無戒心的人。,試卷用作動詞。,dupe-duped-duped,duping,dupe the unsuspecting：欺騙無戒心者；be duped into：被騙去……；fall for a dupe：上當,unsuspecting：無戒心的；viewer：觀眾；opinion：意見,deceive：欺騙；trick：欺騙,enlighten：啟發,Misleading images can dupe the unsuspecting.：誤導性影像可能欺騙毫無戒心者。
W045,26-30,lull,v./n.,使放鬆警惕；哄睡；暫時平靜,文中 lulling them into views 表示使人不知不覺接受不真的觀點。,名詞 lull：平靜期。,lull-lulled-lulled,lulling,lull someone into：使某人陷入；lull into a false sense of security：使誤以為安全；temporary lull：暫時平靜,opinion：看法；deception：欺騙；belief：信念,soothe：安撫；pacify：使平靜,alarm：警告/驚動,The image lulled viewers into false beliefs.：影像使觀眾不知不覺接受錯誤信念。
W046,26-30,ascertain,v.,查明；確定,正式用語，ascertaining the truth of a matter 指確認事情真相。,名詞 ascertainment。,ascertain-ascertained-ascertained,ascertaining,ascertain the truth：查明真相；ascertain whether：確認是否；ascertain the cause：查明原因,truth：真相；reason：理性；inquiry：探究,determine：確定；establish：查明,guess：猜測,Reason helps ascertain the truth.：理性有助於查明真相。
W047,26-30,inculcate,v.,反覆灌輸；諄諄教誨,教育與道德脈絡中指權威努力培養並灌輸思想與良知的約束。,名詞 inculcation。,inculcate-inculcated-inculcated,inculcating,inculcate values：灌輸價值觀；inculcate discipline：培養紀律；inculcate a sense of duty：灌輸責任感,moral authority：道德權威；conscience：良知；stricture：約束,instill：逐步灌輸；implant：植入,eradicate：根除,Teachers try to inculcate a sense of responsibility.：教師試圖培養責任感。
W048,31-35,aficionado,n.,愛好者；熱衷者,文中 saltwater aquarium aficionados 指海水水族箱愛好者。,西班牙語來源名詞。,,,aquarium aficionado：水族箱愛好者；music aficionado：音樂愛好者；sports aficionado：運動迷,hobbyist：業餘愛好者；aquarium：水族箱；saltwater tank：海水缸,enthusiast：熱衷者；devotee：愛好者,,Saltwater aquarium aficionados once disliked bristleworms.：海水水族箱愛好者曾不喜歡剛毛蟲。
W049,31-35,ecosystem,n.,生態系；生態系統,水族箱脈絡中指生物和環境形成的互動系統。,eco- 為生態相關字首。,,,tank ecosystem：水族箱生態系；marine ecosystem：海洋生態系；healthy ecosystem：健康生態系,marine：海洋的；species：物種；scavenger：食腐生物,ecological system：生態系統,,Bristleworms become part of the tank's ecosystem.：剛毛蟲成為水族箱生態系的一部分。
W050,31-35,segmented,adj.,分節的；分段的,生物描述中指剛毛蟲身體由多節構成。,動詞 segment；名詞 segment。,,,segmented body：分節身體；segmented worm：分節蟲；market segment：市場區隔,body：身體；worm：蟲；extent：伸展程度,divided：分開的；sectioned：分段的,unsegmented：未分節的,The worm has a segmented body.：這種蟲有分節身體。
W051,31-35,detritus,n.,碎屑；殘渣；有機廢屑,水族箱生態脈絡中指死亡生物或碎屑等食腐生物會清理的物質。,不可數名詞常見。,,,clear detritus：清理碎屑；organic detritus：有機殘渣；detritus in a tank：水族箱中的碎屑,carcass：屍體；scavenger：食腐動物；ecosystem：生態系,debris：碎片；waste：廢物,,Small bristleworms clear detritus from the tank.：小型剛毛蟲清理水族箱中的碎屑。
W052,31-35,irreparable,adj.,無法修復的；不可彌補的,形容 larger worms can do irreparable damage，指損害可能無法復原。,反義 repairable；副詞 irreparably。,,,irreparable damage：無法修復的損害；irreparable harm：不可彌補的傷害；irreparable loss：無法彌補的損失,damage：損害；fireworm：火蟲；remove：移除,permanent：永久的；unrecoverable：無法恢復的,repairable：可修復的,Large fireworms can do irreparable damage.：大型火蟲可能造成無法修復的損害。
W475,31-35,repairable,adj.,可修復的；可補救的,字首反義詞補充列；去除字首 ir-，形成反義詞。,去除字首 ir-，形成反義詞。,,,repairable damage：可修復損害；repairable device：可修理裝置；easily repairable：容易修復,repair：修理；damage：損害；maintenance：維修,fixable：可修復的,irreparable：不可修復的,repairable is the prefix antonym form recorded for review.：repairable 是本列補充的字首反義詞，供複習使用。
W053,31-35,nocturnal,adj.,夜行性的；夜間的,描述較大的蟲夜間活動且遇光會躲藏。,名詞 nocturne 與夜間音樂相關。,,,nocturnal animal：夜行動物；nocturnal behavior：夜行行為；nocturnal activity：夜間活動,light：光；hiding：躲藏；disturbance：干擾,night-active：夜間活動的,diurnal：日行性的,The worms are nocturnal and sensitive to light.：這些蟲夜行且對光敏感。
W054,36-40,comprehensive,adj.,全面的；綜合性的,教育脈絡中 comprehensive schooling 指非選拔式、面向全體學生的綜合教育。,名詞 comprehension 另指理解力。,,,comprehensive schooling：綜合教育；comprehensive plan：全面計畫；comprehensive review：全面審查,selective schooling：選擇性入學；education system：教育制度；opportunity：機會,inclusive：包容全面的；thorough：徹底的,selective：選擇性的,The debate compares selective and comprehensive schooling.：這場辯論比較選拔式與綜合教育。
W055,36-40,league table,n.,排名表；排行榜,英式用語，文中指學校或學院的排名表可能延續不平等。,固定名詞片語。,,,school league table：學校排行榜；top of the league table：排行榜頂端；publish league tables：公布排名表,institution：機構；standard：標準；two-tier system：兩級制度,ranking：排名；standings：排名表,,League tables may divide schools into good and bad.：排行榜可能把學校分成好與壞。
W056,36-40,bursary,n.,助學金；補助金,教育財務脈絡中指幫助學生負擔高等教育費用的補助。,常見於英式教育用語。,,,scholarships or bursaries：獎學金或助學金；receive a bursary：獲得助學金；bursary fund：助學金基金,scholarship：獎學金；tuition fee：學費；undergraduate：大學生,grant：補助金；financial aid：助學援助,,Bursaries can help students afford tertiary education.：助學金能幫助學生負擔高等教育。
W057,41-45,cohesiveness,n.,凝聚性；連貫性,閱讀首句指出 Roman world 有一種 Greece 沒有的凝聚性。,形容詞 cohesive；名詞 cohesion。,,,social cohesiveness：社會凝聚性；group cohesiveness：團體凝聚力；a sense of cohesiveness：凝聚感,bond：連結；entity：實體；Roman world：羅馬世界,cohesion：凝聚；unity：統一,fragmentation：分裂,Rome had a quality of cohesiveness.：羅馬世界具有凝聚性。
W058,41-45,monolithic,adj.,龐大而一體化的；單一巨石般的,"形容 Roman realm 被整合成 massive, monolithic entity。",名詞 monolith。,,,monolithic entity：一體化實體；monolithic structure：單一龐大結構；monolithic state：高度一體化國家,realm：領域/王國；cement：水泥；bond：連結,unified：統一的；solid：堅固的,fragmented：分裂的,The realm became a monolithic entity.：這個領域成為一體化的實體。
W059,41-45,garrison,n./v.,駐軍；駐守,羅馬控制省份的 physical bonds 包含各省駐軍網絡。,作動詞指派兵駐守。,garrison-garrisoned-garrisoned,garrisoning,military garrison：軍事駐軍；garrison a city：駐守城市；network of garrisons：駐軍網絡,province：省份；army：軍隊；road network：道路網,troops：軍隊；military post：軍事據點,,Military garrisons were stationed in every province.：每個省都有駐軍。
W060,41-45,realm,n.,領域；王國；範圍,文中 Roman realm 指羅馬統治的廣大領域。,可指抽象領域如 realm of science。,,,Roman realm：羅馬領域；political realm：政治領域；realm of possibility：可能範圍,empire：帝國；province：省份；territory：領土,domain：領域；kingdom：王國,,The Roman realm was bonded by law and roads.：羅馬領域由法律與道路連結。
W061,41-45,conquest,n.,征服；攻取,羅馬世界由 territorial conquest 集結而成，與希臘的海上擴張形成對比。,動詞 conquer；名詞 conqueror。,,,territorial conquest：領土征服；military conquest：軍事征服；conquest of land：土地征服,territory：領土；legion：軍團；sea lane：海路,subjugation：征服；victory：勝利,defeat：失敗,Rome was assembled by territorial conquest.：羅馬是透過領土征服組成的。
W062,41-45,stark,adj.,鮮明的；嚴峻的；赤裸的,作者說 contrast is not quite so stark，表示羅馬與希臘差異沒有那麼絕對鮮明。,副詞 starkly。,,,stark contrast：鮮明對比；stark difference：明顯差異；stark reality：嚴峻現實,contrast：對比；difference：差異；comparison：比較,sharp：鮮明的；striking：顯著的,subtle：微妙的,The contrast is not quite so stark.：這個對比並非那麼絕對鮮明。
W063,41-45,legion,n.,軍團；大量,羅馬力量的關鍵在 marching legions，指羅馬步兵軍團。,形容詞 legion 也可表示眾多的。,,,Roman legion：羅馬軍團；marching legions：行軍軍團；legions of fans：大量粉絲,army：軍隊；soldier：士兵；land power：陸權,troop：部隊；military unit：軍事單位,,The key to Roman power lay in its marching legions.：羅馬力量的關鍵在其行軍軍團。
