word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W020,2,hieratic,adj.,僧侶的；神聖僵硬的,第2題干擾選項，較少見。,,,,hieratic in context：在語境中使用 hieratic；learn hieratic：學習「僧侶的；神聖僵硬的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses hieratic in context.：考卷在語境中使用 hieratic。
W021,2,heterogeneous,adj.,異質的；由不同成分組成的,第2題干擾選項。,,,,heterogeneous in context：在語境中使用 heterogeneous；learn heterogeneous：學習「異質的；由不同成分組成的」,diversity：多樣性；mixture：混合,diverse：多樣的,homogeneous：同質的,The exam uses heterogeneous in context.：考卷在語境中使用 heterogeneous。
W022,2,homogeneous,adj.,同質的,字首反義詞補充列；字首/詞根對比形成標準反義詞。,字首/詞根對比形成標準反義詞。,,,homogeneous in context：在語境中使用 homogeneous；learn homogeneous：學習「同質的」,diverse：多樣的,,heterogeneous,The exam uses homogeneous in context.：考卷在語境中使用 homogeneous。
W023,2,herculean,adj.,極艱鉅的；需要大力氣的,題句表示走到浴室都很艱難。,,,,herculean in context：在語境中使用 herculean；learn herculean：學習「極艱鉅的；需要大力氣的」,difficulty：困難；effort：努力,daunting：艱鉅的,easy：容易的,The exam uses herculean in context.：考卷在語境中使用 herculean。
W024,3,county,n.,郡；縣,Berks County 是地名。,,,,county in context：在語境中使用 county；learn county：學習「郡；縣」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses county in context.：考卷在語境中使用 county。
W025,3,power shutoff,n.,斷電；停電措施,utility customers 的斷電增加。,,,,power shutoff in context：在語境中使用 power shutoff；learn power shutoff：學習「斷電；停電措施」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses power shutoff in context.：考卷在語境中使用 power shutoff。
W026,3,utility,n./adj.,公用事業；水電瓦斯服務,utility customers 指公用事業用戶。,,,,utility in context：在語境中使用 utility；learn utility：學習「公用事業；水電瓦斯服務」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses utility in context.：考卷在語境中使用 utility。
W027,3,customer,n.,顧客；用戶,utility customers 指繳費用戶。,,,,customer in context：在語境中使用 customer；learn customer：學習「顧客；用戶」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses customer in context.：考卷在語境中使用 customer。
W028,3,rise,v./n.,上升；增加,power shutoffs rise 111%。,,rise-rised-rised,rising,rise in context：在語境中使用 rise；learn rise：學習「上升；增加」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses rise in context.：考卷在語境中使用 rise。
W029,3,previous,adj.,先前的；上一個的,over the previous year 指比前一年。,,,,previous in context：在語境中使用 previous；learn previous：學習「先前的；上一個的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses previous in context.：考卷在語境中使用 previous。
W030,3,declarative,adj.,陳述的；宣告的,第3題干擾選項。,,,,declarative in context：在語境中使用 declarative；learn declarative：學習「陳述的；宣告的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses declarative in context.：考卷在語境中使用 declarative。
W031,3,delinquent,adj./n.,逾期未繳的；違法少年,delinquent utility customers 指欠費用戶。,,,,delinquent in context：在語境中使用 delinquent；learn delinquent：學習「逾期未繳的；違法少年」,payment：付款；customer：用戶,overdue：逾期的,,The exam uses delinquent in context.：考卷在語境中使用 delinquent。
W032,3,non-delinquent,adj.,非逾期的；未欠費的,字首反義詞補充列；加上字首 non-，形成反義詞。,加上字首 non-，形成反義詞。,,,non-delinquent in context：在語境中使用 non-delinquent；learn non-delinquent：學習「非逾期的；未欠費的」,overdue：逾期的,,delinquent,The exam uses non-delinquent in context.：考卷在語境中使用 non-delinquent。
W033,3,decorous,adj.,得體的；端莊的,第3題干擾選項。,,,,decorous in context：在語境中使用 decorous；learn decorous：學習「得體的；端莊的」,manners：禮貌；behavior：行為,proper：得體的,improper：不得體的,The exam uses decorous in context.：考卷在語境中使用 decorous。
W034,3,indecorous,adj.,不得體的；失禮的,字首反義詞補充列；加上字首 in-，形成反義詞。,加上字首 in-，形成反義詞。,,,indecorous in context：在語境中使用 indecorous；learn indecorous：學習「不得體的；失禮的」,proper：得體的,,decorous,The exam uses indecorous in context.：考卷在語境中使用 indecorous。
W035,3,derivative,adj./n.,衍生的；缺乏原創性的,第3題干擾選項。,,,,derivative in context：在語境中使用 derivative；learn derivative：學習「衍生的；缺乏原創性的」,origin：來源；copy：副本,imitative：模仿的,original：原創的,The exam uses derivative in context.：考卷在語境中使用 derivative。
W036,3,non-derivative,adj.,非衍生的；非派生的,字首反義詞補充列；加上字首 non-，形成反義詞。,加上字首 non-，形成反義詞。,,,non-derivative in context：在語境中使用 non-derivative；learn non-derivative：學習「非衍生的；非派生的」,imitative：模仿的,,derivative,The exam uses non-derivative in context.：考卷在語境中使用 non-derivative。
W037,4,grapevine,n.,小道消息；葡萄藤,hear on the grapevine 指聽到小道消息。,,,,grapevine in context：在語境中使用 grapevine；learn grapevine：學習「小道消息；葡萄藤」,rumor：謠言；news：消息,rumor mill：謠言來源,,The exam uses grapevine in context.：考卷在語境中使用 grapevine。
W038,4,company,n.,公司,companies are discussing a merger。,,,,company in context：在語境中使用 company；learn company：學習「公司」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses company in context.：考卷在語境中使用 company。
W039,4,discuss,v.,討論,公司正在討論合併。,,discuss-discussed-discussed,discussing,discuss in context：在語境中使用 discuss；learn discuss：學習「討論」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses discuss in context.：考卷在語境中使用 discuss。
W040,4,merger,n.,合併,business merger 指企業合併。,,,,merger in context：在語境中使用 merger；learn merger：學習「合併」,company：公司；deal：交易,consolidation：合併,,The exam uses merger in context.：考卷在語境中使用 merger。
W041,4,skyline,n.,天際線,第4題干擾選項。,,,,skyline in context：在語境中使用 skyline；learn skyline：學習「天際線」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses skyline in context.：考卷在語境中使用 skyline。
W042,4,trophy,n.,獎盃；戰利品,第4題干擾選項。,,,,trophy in context：在語境中使用 trophy；learn trophy：學習「獎盃；戰利品」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses trophy in context.：考卷在語境中使用 trophy。
W043,4,kernel,n.,核心；穀粒,第4題干擾選項。,,,,kernel in context：在語境中使用 kernel；learn kernel：學習「核心；穀粒」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses kernel in context.：考卷在語境中使用 kernel。
W044,5,mythology,n.,神話；神話學,Norse mythology 指北歐神話。,,,,mythology in context：在語境中使用 mythology；learn mythology：學習「神話；神話學」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses mythology in context.：考卷在語境中使用 mythology。
W045,5,mischievous,adj.,淘氣的；惡作劇的,形容 Loki。,,,,mischievous in context：在語境中使用 mischievous；learn mischievous：學習「淘氣的；惡作劇的」,trick：惡作劇；god：神,naughty：淘氣的,,The exam uses mischievous in context.：考卷在語境中使用 mischievous。
W046,5,shape-shifting,adj.,會變形的,Loki 是 shape-shifting deity。,,,,shape-shifting in context：在語境中使用 shape-shifting；learn shape-shifting：學習「會變形的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses shape-shifting in context.：考卷在語境中使用 shape-shifting。
W047,5,deity,n.,神；神祇,Loki is a deity。,,,,deity in context：在語境中使用 deity；learn deity：學習「神；神祇」,god：神；mythology：神話,,,The exam uses deity in context.：考卷在語境中使用 deity。
W048,5,transform,v.,轉變；變形,Loki would transform into animals。,,transform-transformed-transformed,transforming,transform in context：在語境中使用 transform；learn transform：學習「轉變；變形」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses transform in context.：考卷在語境中使用 transform。
W049,5,interfere with,phr. v.,干涉；妨礙,Loki interfered with plans and alliances。,,,,interfere with in context：在語境中使用 interfere with；learn interfere with：學習「干涉；妨礙」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses interfere with in context.：考卷在語境中使用 interfere with。
W050,5,alliance,n.,聯盟；同盟,other gods' plans and alliances。,,,,alliance in context：在語境中使用 alliance；learn alliance：學習「聯盟；同盟」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses alliance in context.：考卷在語境中使用 alliance。
W051,5,avarice,n.,貪婪,第5題干擾選項。,,,,avarice in context：在語境中使用 avarice；learn avarice：學習「貪婪」,wealth：財富；desire：慾望；mythology：神話,greed：貪婪,generosity：慷慨,The exam uses avarice in context.：考卷在語境中使用 avarice。
W052,5,chicanery,n.,欺詐；詭計,形容 Loki 的詭計多端。,,,,chicanery in context：在語境中使用 chicanery；learn chicanery：學習「欺詐；詭計」,trick：詭計；deception：欺騙,deceit：欺騙,honesty：誠實,The exam uses chicanery in context.：考卷在語境中使用 chicanery。
W053,5,apathy,n.,冷漠；無興趣,第5題干擾選項。,,,,apathy in context：在語境中使用 apathy；learn apathy：學習「冷漠；無興趣」,emotion：情緒；interest：興趣,indifference：冷漠,concern：關心,The exam uses apathy in context.：考卷在語境中使用 apathy。
W054,5,diffidence,n.,缺乏自信；羞怯,第5題干擾選項。,,,,diffidence in context：在語境中使用 diffidence；learn diffidence：學習「缺乏自信；羞怯」,confidence：信心；shyness：害羞,timidity：膽怯,confidence：自信,The exam uses diffidence in context.：考卷在語境中使用 diffidence。
W055,6,president,n.,總統；主席,題句中 if the president really means to lead。,,,,president in context：在語境中使用 president；learn president：學習「總統；主席」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses president in context.：考卷在語境中使用 president。
W056,6,bring about,phr. v.,造成；帶來,bring about a world congenial to us。,,,,bring about in context：在語境中使用 bring about；learn bring about：學習「造成；帶來」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses bring about in context.：考卷在語境中使用 bring about。
W057,6,pretend,v.,假裝,stop pretending 指停止假裝。,,pretend-pretended-pretended,pretending,pretend in context：在語境中使用 pretend；learn pretend：學習「假裝」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses pretend in context.：考卷在語境中使用 pretend。
W058,6,on the cheap,phr.,廉價地；省錢地,do the job on the cheap。,,,,on the cheap in context：在語境中使用 on the cheap；learn on the cheap：學習「廉價地；省錢地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses on the cheap in context.：考卷在語境中使用 on the cheap。
W059,6,remote control,n.,遙控；遠距控制,by remote control 指遠距操控。,,,,remote control in context：在語境中使用 remote control；learn remote control：學習「遙控；遠距控制」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses remote control in context.：考卷在語境中使用 remote control。
W060,6,regnant,adj.,統治的；占優勢的,第6題干擾選項。,,,,regnant in context：在語境中使用 regnant；learn regnant：學習「統治的；占優勢的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses regnant in context.：考卷在語境中使用 regnant。
W061,6,eligible,adj.,符合資格的,第6題干擾選項。,,,,eligible in context：在語境中使用 eligible；learn eligible：學習「符合資格的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses eligible in context.：考卷在語境中使用 eligible。
W062,6,ineligible,adj.,不符合資格的,字首反義詞補充列；加上字首 in-，形成反義詞。,加上字首 in-，形成反義詞。,,,ineligible in context：在語境中使用 ineligible；learn ineligible：學習「不符合資格的」,exam passage：考卷文章；context：語境；review：複習,,eligible,The exam uses ineligible in context.：考卷在語境中使用 ineligible。
W063,6,congenial,adj.,合意的；適合的；投緣的,a world congenial to us 指適合我們的世界。,,,,congenial in context：在語境中使用 congenial；learn congenial：學習「合意的；適合的；投緣的」,suitable：適合；friendly：友善,agreeable：合意的,hostile：敵對的,The exam uses congenial in context.：考卷在語境中使用 congenial。
W064,6,uncongenial,adj.,不合意的；不友善的,字首反義詞補充列；加上字首 un-，形成反義詞。,加上字首 un-，形成反義詞。,,,uncongenial in context：在語境中使用 uncongenial；learn uncongenial：學習「不合意的；不友善的」,agreeable：合意的,,congenial,The exam uses uncongenial in context.：考卷在語境中使用 uncongenial。
W065,6,nongermane,adj.,不相關的,第6題干擾選項。,,,,nongermane in context：在語境中使用 nongermane；learn nongermane：學習「不相關的」,relevance：相關性；topic：主題,irrelevant：不相關的,germane：相關的,The exam uses nongermane in context.：考卷在語境中使用 nongermane。
W066,7,constant,adj.,持續的；不斷的,Constant exposure 指持續暴露。,,,,constant in context：在語境中使用 constant；learn constant：學習「持續的；不斷的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses constant in context.：考卷在語境中使用 constant。
W067,7,exposure,n.,暴露；接觸,exposure to public figures' flaws。,,,,exposure in context：在語境中使用 exposure；learn exposure：學習「暴露；接觸」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses exposure in context.：考卷在語境中使用 exposure。
W068,7,public figure,n.,公眾人物,題句中 public figures。,,,,public figure in context：在語境中使用 public figure；learn public figure：學習「公眾人物」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses public figure in context.：考卷在語境中使用 public figure。
W069,7,foible,n.,小缺點；怪癖,public figures' foibles and flaws。,,,,foible in context：在語境中使用 foible；learn foible：學習「小缺點；怪癖」,weakness：弱點；flaw：缺點,,,The exam uses foible in context.：考卷在語境中使用 foible。
W070,7,flaw,n.,缺陷；缺點,foibles and flaws。,,,,flaw in context：在語境中使用 flaw；learn flaw：學習「缺陷；缺點」,defect：缺陷；weakness：弱點,,,The exam uses flaw in context.：考卷在語境中使用 flaw。
W071,7,humanizing,adj.,使人性化的,接觸名人缺點會使其更人性化。,,,,humanizing in context：在語境中使用 humanizing；learn humanizing：學習「使人性化的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses humanizing in context.：考卷在語境中使用 humanizing。
W072,7,sympathetic,adj.,同情的；贊同的,become sympathetic to their plights。,,,,sympathetic in context：在語境中使用 sympathetic；learn sympathetic：學習「同情的；贊同的」,empathy：同理；pity：同情,compassionate：有同情心的,,The exam uses sympathetic in context.：考卷在語境中使用 sympathetic。
W073,7,plight,n.,困境,public figures' plights。,,,,plight in context：在語境中使用 plight；learn plight：學習「困境」,difficulty：困難；trouble：麻煩,predicament：困境,,The exam uses plight in context.：考卷在語境中使用 plight。
W074,7,wary,adj.,謹慎的；警惕的,become wary of their motives。,,,,wary in context：在語境中使用 wary；learn wary：學習「謹慎的；警惕的」,caution：謹慎；suspicion：懷疑,cautious：謹慎的,trusting：輕信的,The exam uses wary in context.：考卷在語境中使用 wary。
W075,7,motive,n.,動機,wary of their motives。,,,,motive in context：在語境中使用 motive；learn motive：學習「動機」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses motive in context.：考卷在語境中使用 motive。
W076,7,disillusioning,adj.,令人幻滅的,接觸缺點讓人幻滅。,,,,disillusioning in context：在語境中使用 disillusioning；learn disillusioning：學習「令人幻滅的」,illusion：幻想；disappointment：失望,disappointing：令人失望的,,The exam uses disillusioning in context.：考卷在語境中使用 disillusioning。
W077,7,humbling,adj.,使謙卑的；令人自覺渺小的,第7題干擾選項。,,,,humbling in context：在語境中使用 humbling；learn humbling：學習「使謙卑的；令人自覺渺小的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses humbling in context.：考卷在語境中使用 humbling。
W078,7,emboldening,adj.,令人更大膽的,第7題干擾選項。,,,,emboldening in context：在語境中使用 emboldening；learn emboldening：學習「令人更大膽的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses emboldening in context.：考卷在語境中使用 emboldening。
W079,7,disdaining,adj./v.,輕視的；鄙視,第7題干擾選項。,,,,disdaining in context：在語境中使用 disdaining；learn disdaining：學習「輕視的；鄙視」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses disdaining in context.：考卷在語境中使用 disdaining。
W080,8,manager,n.,經理；管理者,題句中 manager tries to energize people。,,,,manager in context：在語境中使用 manager；learn manager：學習「經理；管理者」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses manager in context.：考卷在語境中使用 manager。
W081,8,energize,v.,激勵；使有活力,energize remaining people。,,energize-energized-energized,energizing,energize in context：在語境中使用 energize；learn energize：學習「激勵；使有活力」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses energize in context.：考卷在語境中使用 energize。
W082,8,remaining,adj.,剩下的；其餘的,remaining people 指剩下的人。,,,,remaining in context：在語境中使用 remaining；learn remaining：學習「剩下的；其餘的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses remaining in context.：考卷在語境中使用 remaining。
W083,8,top-line growth,n.,營收成長；總收入成長,business phrase，指收入端成長。,,,,top-line growth in context：在語境中使用 top-line growth；learn top-line growth：學習「營收成長；總收入成長」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses top-line growth in context.：考卷在語境中使用 top-line growth。
W084,8,expand,v.,擴展；擴大,expanding the business。,,expand-expanded-expanded,expanding,expand in context：在語境中使用 expand；learn expand：學習「擴展；擴大」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses expand in context.：考卷在語境中使用 expand。
W085,8,opportunity,n.,機會,looking for opportunities。,,,,opportunity in context：在語境中使用 opportunity；learn opportunity：學習「機會」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses opportunity in context.：考卷在語境中使用 opportunity。
W086,8,technology,n.,科技；技術,use technology to leverage work。,,,,technology in context：在語境中使用 technology；learn technology：學習「科技；技術」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses technology in context.：考卷在語境中使用 technology。
W087,8,regulate,v.,規範；調節,第8題干擾選項。,,regulate-regulated-regulated,regulating,regulate in context：在語境中使用 regulate；learn regulate：學習「規範；調節」,rule：規則；policy：政策；system：系統,control：控制,,The exam uses regulate in context.：考卷在語境中使用 regulate。
W088,8,gulp,v./n.,大口吞嚥,第8題干擾選項。,,gulp-gulped-gulped,gulping,gulp in context：在語境中使用 gulp；learn gulp：學習「大口吞嚥」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses gulp in context.：考卷在語境中使用 gulp。
W089,8,leverage,v./n.,利用；發揮槓桿作用,use technology to leverage the work。,,leverage-leveraged-leveraged,leveraging,leverage in context：在語境中使用 leverage；learn leverage：學習「利用；發揮槓桿作用」,technology：科技；work：工作,utilize：利用,,The exam uses leverage in context.：考卷在語境中使用 leverage。
W090,8,retrocede,v.,退回；讓與,第8題干擾選項。,,retrocede-retroceded-retroceded,retroceding,retrocede in context：在語境中使用 retrocede；learn retrocede：學習「退回；讓與」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses retrocede in context.：考卷在語境中使用 retrocede。
W091,9,provider,n.,供應商；提供者,software provider。,,,,provider in context：在語境中使用 provider；learn provider：學習「供應商；提供者」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses provider in context.：考卷在語境中使用 provider。
W092,9,business application software,n.,商業應用軟體,Oracle 是商業應用軟體供應商。,,,,business application software in context：在語境中使用 business application software；learn business application software：學習「商業應用軟體」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses business application software in context.：考卷在語境中使用 business application software。
W093,9,major,adj.,主要的；重大的,another major provider。,,,,major in context：在語境中使用 major；learn major：學習「主要的；重大的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses major in context.：考卷在語境中使用 major。
W094,9,engrail,v.,使邊緣成鋸齒狀,第9題罕見干擾選項。,,engrail-engrailed-engrailed,engrailing,engrail in context：在語境中使用 engrail；learn engrail：學習「使邊緣成鋸齒狀」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses engrail in context.：考卷在語境中使用 engrail。
W095,9,denigrate,v.,貶低；詆毀,第9題干擾選項。,,denigrate-denigrated-denigrated,denigrating,denigrate in context：在語境中使用 denigrate；learn denigrate：學習「貶低；詆毀」,criticism：批評；reputation：名聲,belittle：貶低,praise：讚揚,The exam uses denigrate in context.：考卷在語境中使用 denigrate。
W096,9,inhale,v.,吸入,第9題干擾選項。,,inhale-inhaled-inhaled,inhaling,inhale in context：在語境中使用 inhale；learn inhale：學習「吸入」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses inhale in context.：考卷在語境中使用 inhale。
W097,9,swallow,v.,吞下；併吞；相信,商業脈絡中 swallowed 指併吞公司。,,swallow-swallowed-swallowed,swallowing,swallow in context：在語境中使用 swallow；learn swallow：學習「吞下；併吞；相信」,merger：合併；company：公司,absorb：吸收；acquire：收購,,The exam uses swallow in context.：考卷在語境中使用 swallow。
W098,10,business letter,n.,商業信件,題句主題是好的商業信件。,,,,business letter in context：在語境中使用 business letter；learn business letter：學習「商業信件」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses business letter in context.：考卷在語境中使用 business letter。
W099,10,straightforward,adj.,直接清楚的,business letter should be straightforward。,,,,straightforward in context：在語境中使用 straightforward；learn straightforward：學習「直接清楚的」,clear：清楚；simple：簡單,direct：直接的,complicated：複雜的,The exam uses straightforward in context.：考卷在語境中使用 straightforward。
W100,10,simplistic,adj.,過度簡化的,without being simplistic 指不要過度簡化。,,,,simplistic in context：在語境中使用 simplistic；learn simplistic：學習「過度簡化的」,simple：簡單；argument：論點,oversimplified：過度簡化的,,The exam uses simplistic in context.：考卷在語境中使用 simplistic。
W101,10,patronizing,adj.,擺出高人一等的；屈尊俯就的,business letter 不應給人高高在上的感覺。,,,,patronizing in context：在語境中使用 patronizing；learn patronizing：學習「擺出高人一等的；屈尊俯就的」,tone：語氣；attitude：態度,condescending：屈尊的,respectful：尊重的,The exam uses patronizing in context.：考卷在語境中使用 patronizing。
W102,10,palpable,adj.,明顯的；可觸知的,第10題干擾選項。,,,,palpable in context：在語境中使用 palpable；learn palpable：學習「明顯的；可觸知的」,obvious：明顯；feeling：感覺,tangible：可觸知的,,The exam uses palpable in context.：考卷在語境中使用 palpable。
W103,10,panoptic,adj.,全景的；全監控的,第10題干擾選項。,,,,panoptic in context：在語境中使用 panoptic；learn panoptic：學習「全景的；全監控的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses panoptic in context.：考卷在語境中使用 panoptic。
W104,10,panoramic,adj.,全景的,第10題干擾選項。,,,,panoramic in context：在語境中使用 panoramic；learn panoramic：學習「全景的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses panoramic in context.：考卷在語境中使用 panoramic。
W105,11,historian,n.,歷史學家,文法題中 according to some historians。,,,,historian in context：在語境中使用 historian；learn historian：學習「歷史學家」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses historian in context.：考卷在語境中使用 historian。
W106,11,invade,v.,入侵；侵略,Napoleon had not invaded Russia。,,invade-invaded-invaded,invading,invade in context：在語境中使用 invade；learn invade：學習「入侵；侵略」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses invade in context.：考卷在語境中使用 invade。
W107,11,conquer,v.,征服,would have conquered the rest of Europe。,,conquer-conquered-conquered,conquering,conquer in context：在語境中使用 conquer；learn conquer：學習「征服」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses conquer in context.：考卷在語境中使用 conquer。
